store_id,campaign_id,campaign_name,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold_after_promo,promo_price ,Total_revenue_before_promo,Total_revenue_after_promo 
STHYD-2,CAMP_SAN_01,Sankranti,P10,50,25% OFF,42,31,37.50,2100,1162.5
STVJD-0,CAMP_SAN_01,Sankranti,P04,370,BOGOF,253,1017,370.00,93610,376290
STCHE-1,CAMP_DIW_01,Diwali,P01,172,33% OFF,325,396,115.24,55900,45635.04
STBLR-9,CAMP_SAN_01,Sankranti,P10,50,25% OFF,40,36,37.50,2000,1350
STMLR-1,CAMP_DIW_01,Diwali,P11,190,50% OFF,38,50,95.00,7220,4750
STCHE-3,CAMP_DIW_01,Diwali,P05,55,25% OFF,106,92,41.25,5830,3795
STCBE-3,CAMP_DIW_01,Diwali,P06,415,25% OFF,66,57,311.25,27390,17741.25
STHYD-5,CAMP_DIW_01,Diwali,P03,156,25% OFF,358,347,117.00,55848,40599
STBLR-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,117,114,41.25,6435,4702.5
STHYD-3,CAMP_DIW_01,Diwali,P04,290,25% OFF,367,297,217.50,106430,64597.5
STMLR-0,CAMP_DIW_01,Diwali,P03,156,25% OFF,166,146,117.00,25896,17082
STMDU-0,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,369,1221,2500.00,1107000,3052500
STMYS-2,CAMP_SAN_01,Sankranti,P05,55,25% OFF,37,30,41.25,2035,1237.5
STMLR-0,CAMP_SAN_01,Sankranti,P10,50,25% OFF,15,12,37.50,750,450
STCHE-5,CAMP_DIW_01,Diwali,P04,290,25% OFF,309,268,217.50,89610,58290
STMDU-0,CAMP_DIW_01,Diwali,P06,415,25% OFF,73,64,311.25,30295,19920
STHYD-5,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,100,391,1020.00,102000,398820
STCBE-0,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,320,937,2500.00,960000,2342500
STHYD-3,CAMP_DIW_01,Diwali,P06,415,25% OFF,106,81,311.25,43990,25211.25
STHYD-5,CAMP_SAN_01,Sankranti,P10,50,25% OFF,39,35,37.50,1950,1312.5
STBLR-3,CAMP_DIW_01,Diwali,P05,55,25% OFF,112,88,41.25,6160,3630
STMLR-2,CAMP_DIW_01,Diwali,P09,110,50% OFF,36,37,55.00,3960,2035
STVSK-3,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,30,81,1190.00,35700,96390
STBLR-3,CAMP_SAN_01,Sankranti,P09,90,25% OFF,58,43,67.50,5220,2902.5
STMDU-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,92,79,41.25,5060,3258.75
STVJD-1,CAMP_SAN_01,Sankranti,P11,190,50% OFF,25,35,95.00,4750,3325
STMDU-2,CAMP_DIW_01,Diwali,P03,156,25% OFF,206,179,117.00,32136,20943
STHYD-1,CAMP_SAN_01,Sankranti,P02,860,33% OFF,488,580,576.20,419680,334196
STVSK-4,CAMP_SAN_01,Sankranti,P03,200,BOGOF,223,604,200.00,44600,120800
STBLR-6,CAMP_DIW_01,Diwali,P07,300,BOGOF,68,263,300.00,20400,78900
STVJD-0,CAMP_DIW_01,Diwali,P10,65,50% OFF,57,75,32.50,3705,2437.5
STBLR-1,CAMP_DIW_01,Diwali,P13,350,BOGOF,77,232,350.00,26950,81200
STHYD-2,CAMP_SAN_01,Sankranti,P02,860,33% OFF,465,646,576.20,399900,372225.2
STBLR-0,CAMP_SAN_01,Sankranti,P07,300,BOGOF,45,185,300.00,13500,55500
STHYD-3,CAMP_SAN_01,Sankranti,P10,50,25% OFF,39,29,37.50,1950,1087.5
STBLR-5,CAMP_SAN_01,Sankranti,P10,50,25% OFF,36,29,37.50,1800,1087.5
STMYS-3,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,34,147,1190.00,40460,174930
STCHE-6,CAMP_DIW_01,Diwali,P13,350,BOGOF,75,252,350.00,26250,88200
STMDU-3,CAMP_SAN_01,Sankranti,P09,90,25% OFF,45,38,67.50,4050,2565
STVJD-0,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,63,151,2500.00,189000,377500
STHYD-1,CAMP_DIW_01,Diwali,P02,860,33% OFF,351,449,576.20,301860,258713.8
STVSK-3,CAMP_SAN_01,Sankranti,P10,50,25% OFF,27,21,37.50,1350,787.5
STMLR-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,54,48,41.25,2970,1980
STVSK-4,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,100,175,2500.00,300000,437500
STCHE-7,CAMP_SAN_01,Sankranti,P04,370,BOGOF,423,1801,370.00,156510,666370
STVSK-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,64,49,41.25,3520,2021.25
STMLR-0,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,196,509,2500.00,588000,1272500
STMLR-0,CAMP_SAN_01,Sankranti,P05,55,25% OFF,15,12,41.25,825,495
STMLR-2,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,66,147,2500.00,198000,367500
STHYD-6,CAMP_SAN_01,Sankranti,P13,350,BOGOF,100,403,350.00,35000,141050
STHYD-1,CAMP_SAN_01,Sankranti,P13,350,BOGOF,122,326,350.00,42700,114100
STCHE-0,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,51,196,1190.00,60690,233240
STVJD-0,CAMP_SAN_01,Sankranti,P03,200,BOGOF,193,773,200.00,38600,154600
STTRV-0,CAMP_SAN_01,Sankranti,P02,860,33% OFF,241,344,576.20,207260,198212.8
STHYD-5,CAMP_DIW_01,Diwali,P13,350,BOGOF,80,276,350.00,28000,96600
STHYD-1,CAMP_DIW_01,Diwali,P06,415,25% OFF,103,88,311.25,42745,27390
STMYS-3,CAMP_SAN_01,Sankranti,P01,172,33% OFF,232,294,115.24,39904,33880.56
STMDU-0,CAMP_SAN_01,Sankranti,P02,860,33% OFF,318,448,576.20,273480,258137.6
STTRV-1,CAMP_DIW_01,Diwali,P03,156,25% OFF,166,157,117.00,25896,18369
STBLR-5,CAMP_DIW_01,Diwali,P06,415,25% OFF,101,90,311.25,41915,28012.5
STHYD-3,CAMP_SAN_01,Sankranti,P07,300,BOGOF,45,121,300.00,13500,36300
STMDU-1,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,30,118,1190.00,35700,140420
STHYD-5,CAMP_SAN_01,Sankranti,P12,62,50% OFF,49,70,31.00,3038,2170
STMLR-0,CAMP_DIW_01,Diwali,P10,65,50% OFF,52,71,32.50,3380,2307.5
STBLR-5,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,49,194,1190.00,58310,230860
STHYD-4,CAMP_SAN_01,Sankranti,P11,190,50% OFF,54,78,95.00,10260,7410
STTRV-0,CAMP_DIW_01,Diwali,P06,415,25% OFF,52,49,311.25,21580,15251.25
STBLR-6,CAMP_SAN_01,Sankranti,P03,200,BOGOF,423,1734,200.00,84600,346800
STBLR-4,CAMP_SAN_01,Sankranti,P10,50,25% OFF,31,26,37.50,1550,975
STCBE-3,CAMP_DIW_01,Diwali,P07,300,BOGOF,52,173,300.00,15600,51900
STCHE-6,CAMP_DIW_01,Diwali,P11,190,50% OFF,80,100,95.00,15200,9500
STVSK-3,CAMP_SAN_01,Sankranti,P07,300,BOGOF,31,77,300.00,9300,23100
STVJD-0,CAMP_DIW_01,Diwali,P02,860,33% OFF,197,285,576.20,169420,164217
STMYS-1,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,109,453,1020.00,111180,462060
STHYD-6,CAMP_DIW_01,Diwali,P02,860,33% OFF,329,470,576.20,282940,270814
STVSK-0,CAMP_DIW_01,Diwali,P03,156,25% OFF,259,225,117.00,40404,26325
STBLR-9,CAMP_DIW_01,Diwali,P09,110,50% OFF,71,90,55.00,7810,4950
STBLR-2,CAMP_SAN_01,Sankranti,P07,300,BOGOF,31,122,300.00,9300,36600
STCHE-3,CAMP_SAN_01,Sankranti,P12,62,50% OFF,64,89,31.00,3968,2759
STVJD-1,CAMP_DIW_01,Diwali,P01,172,33% OFF,180,255,115.24,30960,29386.2
STTRV-1,CAMP_DIW_01,Diwali,P06,415,25% OFF,36,34,311.25,14940,10582.5
STMDU-2,CAMP_DIW_01,Diwali,P06,415,25% OFF,50,43,311.25,20750,13383.75
STCBE-1,CAMP_DIW_01,Diwali,P07,300,BOGOF,57,188,300.00,17100,56400
STCHE-1,CAMP_DIW_01,Diwali,P02,860,33% OFF,364,451,576.20,313040,259866.2
STCHE-6,CAMP_DIW_01,Diwali,P14,1020,BOGOF,59,195,1020.00,60180,198900
STBLR-8,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,437,1306,2500.00,1311000,3265000
STVSK-1,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,82,322,1020.00,83640,328440
STMDU-2,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,76,300,1020.00,77520,306000
STMLR-2,CAMP_SAN_01,Sankranti,P12,62,50% OFF,27,31,31.00,1674,961
STHYD-4,CAMP_SAN_01,Sankranti,P13,350,BOGOF,135,534,350.00,47250,186900
STHYD-0,CAMP_DIW_01,Diwali,P13,350,BOGOF,68,235,350.00,23800,82250
STMLR-1,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,27,106,1190.00,32130,126140
STCBE-4,CAMP_SAN_01,Sankranti,P04,370,BOGOF,363,990,370.00,134310,366300
STVSK-3,CAMP_DIW_01,Diwali,P03,156,25% OFF,196,174,117.00,30576,20358
STBLR-7,CAMP_SAN_01,Sankranti,P13,350,BOGOF,133,559,350.00,46550,195650
STCHE-7,CAMP_SAN_01,Sankranti,P11,190,50% OFF,58,81,95.00,11020,7695
STMDU-1,CAMP_DIW_01,Diwali,P08,1190,BOGOF,35,122,1190.00,41650,145180
STMLR-2,CAMP_DIW_01,Diwali,P13,350,BOGOF,38,133,350.00,13300,46550
STHYD-0,CAMP_DIW_01,Diwali,P03,156,25% OFF,351,305,117.00,54756,35685
STBLR-4,CAMP_DIW_01,Diwali,P05,55,25% OFF,136,121,41.25,7480,4991.25
STVSK-1,CAMP_SAN_01,Sankranti,P04,370,BOGOF,252,985,370.00,93240,364450
STVSK-3,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,260,681,2500.00,780000,1702500
STVJD-1,CAMP_DIW_01,Diwali,P04,290,25% OFF,150,123,217.50,43500,26752.5
STHYD-6,CAMP_SAN_01,Sankranti,P11,190,50% OFF,49,69,95.00,9310,6555
STHYD-4,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,51,203,1190.00,60690,241570
STMYS-1,CAMP_DIW_01,Diwali,P09,110,50% OFF,103,159,55.00,11330,8745
STVSK-0,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,61,234,1020.00,62220,238680
STCHE-3,CAMP_DIW_01,Diwali,P03,156,25% OFF,330,290,117.00,51480,33930
STCBE-1,CAMP_SAN_01,Sankranti,P03,200,BOGOF,267,1054,200.00,53400,210800
STCBE-0,CAMP_SAN_01,Sankranti,P10,50,25% OFF,25,22,37.50,1250,825
STBLR-1,CAMP_SAN_01,Sankranti,P06,415,25% OFF,39,36,311.25,16185,11205
STMDU-3,CAMP_DIW_01,Diwali,P10,65,50% OFF,68,76,32.50,4420,2470
STMDU-0,CAMP_DIW_01,Diwali,P03,156,25% OFF,241,209,117.00,37596,24453
STBLR-4,CAMP_DIW_01,Diwali,P10,65,50% OFF,92,120,32.50,5980,3900
STVSK-3,CAMP_DIW_01,Diwali,P10,65,50% OFF,68,76,32.50,4420,2470
STHYD-3,CAMP_DIW_01,Diwali,P09,110,50% OFF,92,147,55.00,10120,8085
STCBE-4,CAMP_DIW_01,Diwali,P06,415,25% OFF,68,61,311.25,28220,18986.25
STTRV-1,CAMP_SAN_01,Sankranti,P07,300,BOGOF,21,82,300.00,6300,24600
STMLR-0,CAMP_SAN_01,Sankranti,P12,62,50% OFF,33,47,31.00,2046,1457
STBLR-6,CAMP_SAN_01,Sankranti,P05,55,25% OFF,25,20,41.25,1375,825
STMYS-1,CAMP_DIW_01,Diwali,P10,65,50% OFF,103,158,32.50,6695,5135
STHYD-2,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,60,238,1190.00,71400,283220
STTRV-0,CAMP_DIW_01,Diwali,P10,65,50% OFF,68,93,32.50,4420,3022.5
STMLR-0,CAMP_DIW_01,Diwali,P08,1190,BOGOF,24,70,1190.00,28560,83300
STMDU-3,CAMP_DIW_01,Diwali,P02,860,33% OFF,276,345,576.20,237360,198789
STBLR-8,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,97,385,1020.00,98940,392700
STMLR-0,CAMP_SAN_01,Sankranti,P07,300,BOGOF,21,54,300.00,6300,16200
STTRV-1,CAMP_SAN_01,Sankranti,P06,415,25% OFF,21,19,311.25,8715,5913.75
STHYD-6,CAMP_SAN_01,Sankranti,P09,90,25% OFF,55,45,67.50,4950,3037.5
STHYD-5,CAMP_DIW_01,Diwali,P07,300,BOGOF,59,195,300.00,17700,58500
STCHE-6,CAMP_SAN_01,Sankranti,P13,350,BOGOF,111,445,350.00,38850,155750
STVSK-2,CAMP_DIW_01,Diwali,P14,1020,BOGOF,33,109,1020.00,33660,111180
STHYD-4,CAMP_SAN_01,Sankranti,P12,62,50% OFF,52,72,31.00,3224,2232
STCBE-4,CAMP_DIW_01,Diwali,P12,62,50% OFF,89,112,31.00,5518,3472
STCHE-5,CAMP_DIW_01,Diwali,P06,415,25% OFF,87,77,311.25,36105,23966.25
STBLR-9,CAMP_DIW_01,Diwali,P08,1190,BOGOF,47,163,1190.00,55930,193970
STMYS-3,CAMP_SAN_01,Sankranti,P11,190,50% OFF,43,48,95.00,8170,4560
STMLR-0,CAMP_SAN_01,Sankranti,P01,172,33% OFF,169,236,115.24,29068,27196.64
STMLR-0,CAMP_DIW_01,Diwali,P11,190,50% OFF,35,45,95.00,6650,4275
STHYD-3,CAMP_SAN_01,Sankranti,P05,55,25% OFF,30,22,41.25,1650,907.5
STCHE-5,CAMP_DIW_01,Diwali,P13,350,BOGOF,66,226,350.00,23100,79100
STVSK-4,CAMP_DIW_01,Diwali,P01,172,33% OFF,155,218,115.24,26660,25122.32
STHYD-2,CAMP_DIW_01,Diwali,P13,350,BOGOF,82,273,350.00,28700,95550
STBLR-5,CAMP_SAN_01,Sankranti,P01,172,33% OFF,264,361,115.24,45408,41601.64
STCHE-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,119,107,41.25,6545,4413.75
STCHE-4,CAMP_SAN_01,Sankranti,P13,350,BOGOF,114,502,350.00,39900,175700
STVJD-0,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,48,187,1020.00,48960,190740
STCHE-3,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,112,460,1020.00,114240,469200
STCHE-0,CAMP_DIW_01,Diwali,P04,290,25% OFF,309,265,217.50,89610,57637.5
STBLR-2,CAMP_SAN_01,Sankranti,P09,90,25% OFF,64,53,67.50,5760,3577.5
STMYS-2,CAMP_DIW_01,Diwali,P02,860,33% OFF,283,430,576.20,243380,247766
STTRV-1,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,61,234,1020.00,62220,238680
STMDU-0,CAMP_SAN_01,Sankranti,P06,415,25% OFF,21,17,311.25,8715,5291.25
STHYD-2,CAMP_SAN_01,Sankranti,P05,55,25% OFF,24,18,41.25,1320,742.5
STMLR-1,CAMP_SAN_01,Sankranti,P03,200,BOGOF,195,776,200.00,39000,155200
STVSK-4,CAMP_DIW_01,Diwali,P05,55,25% OFF,89,72,41.25,4895,2970
STTRV-0,CAMP_DIW_01,Diwali,P02,860,33% OFF,196,303,576.20,168560,174588.6
STVJD-0,CAMP_SAN_01,Sankranti,P09,90,25% OFF,33,30,67.50,2970,2025
STHYD-1,CAMP_DIW_01,Diwali,P08,1190,BOGOF,54,167,1190.00,64260,198730
STHYD-0,CAMP_SAN_01,Sankranti,P11,190,50% OFF,42,65,95.00,7980,6175
STCBE-4,CAMP_DIW_01,Diwali,P08,1190,BOGOF,40,119,1190.00,47600,141610
STCHE-0,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,343,1056,2500.00,1029000,2640000
STCHE-7,CAMP_DIW_01,Diwali,P08,1190,BOGOF,54,218,1190.00,64260,259420
STVSK-1,CAMP_DIW_01,Diwali,P02,860,33% OFF,253,389,576.20,217580,224141.8
STVJD-1,CAMP_DIW_01,Diwali,P13,350,BOGOF,36,124,350.00,12600,43400
STMDU-0,CAMP_DIW_01,Diwali,P09,110,50% OFF,43,58,55.00,4730,3190
STMLR-1,CAMP_DIW_01,Diwali,P03,156,25% OFF,192,165,117.00,29952,19305
STVSK-4,CAMP_DIW_01,Diwali,P11,190,50% OFF,57,72,95.00,10830,6840
STCHE-4,CAMP_DIW_01,Diwali,P04,290,25% OFF,304,273,217.50,88160,59377.5
STBLR-0,CAMP_DIW_01,Diwali,P01,172,33% OFF,294,438,115.24,50568,50475.12
STVJD-1,CAMP_DIW_01,Diwali,P02,860,33% OFF,210,321,576.20,180600,184960.2
STBLR-4,CAMP_DIW_01,Diwali,P04,290,25% OFF,325,289,217.50,94250,62857.5
STBLR-8,CAMP_SAN_01,Sankranti,P01,172,33% OFF,346,491,115.24,59512,56582.84
STCBE-2,CAMP_DIW_01,Diwali,P12,62,50% OFF,89,129,31.00,5518,3999
STMDU-1,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,322,985,2500.00,966000,2462500
STMDU-3,CAMP_DIW_01,Diwali,P06,415,25% OFF,56,50,311.25,23240,15562.5
STMLR-2,CAMP_SAN_01,Sankranti,P09,90,25% OFF,33,27,67.50,2970,1822.5
STCHE-3,CAMP_DIW_01,Diwali,P04,290,25% OFF,350,311,217.50,101500,67642.5
STMDU-0,CAMP_DIW_01,Diwali,P07,300,BOGOF,49,199,300.00,14700,59700
STBLR-2,CAMP_DIW_01,Diwali,P14,1020,BOGOF,47,162,1020.00,47940,165240
STMLR-2,CAMP_DIW_01,Diwali,P12,62,50% OFF,63,71,31.00,3906,2201
STMDU-1,CAMP_DIW_01,Diwali,P04,290,25% OFF,255,219,217.50,73950,47632.5
STCHE-5,CAMP_SAN_01,Sankranti,P07,300,BOGOF,43,167,300.00,12900,50100
STMDU-3,CAMP_DIW_01,Diwali,P13,350,BOGOF,56,184,350.00,19600,64400
STVSK-2,CAMP_DIW_01,Diwali,P10,65,50% OFF,85,128,32.50,5525,4160
STHYD-5,CAMP_DIW_01,Diwali,P04,290,25% OFF,327,310,217.50,94830,67425
STHYD-1,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,52,134,1190.00,61880,159460
STVSK-1,CAMP_DIW_01,Diwali,P01,172,33% OFF,257,364,115.24,44204,41947.36
STCBE-2,CAMP_DIW_01,Diwali,P11,190,50% OFF,40,62,95.00,7600,5890
STVSK-3,CAMP_DIW_01,Diwali,P14,1020,BOGOF,38,117,1020.00,38760,119340
STMLR-2,CAMP_SAN_01,Sankranti,P07,300,BOGOF,24,96,300.00,7200,28800
STMDU-0,CAMP_DIW_01,Diwali,P14,1020,BOGOF,33,126,1020.00,33660,128520
STMYS-1,CAMP_SAN_01,Sankranti,P07,300,BOGOF,43,186,300.00,12900,55800
STMDU-1,CAMP_DIW_01,Diwali,P01,172,33% OFF,187,289,115.24,32164,33304.36
STHYD-1,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,103,177,2500.00,309000,442500
STBLR-2,CAMP_DIW_01,Diwali,P09,110,50% OFF,103,136,55.00,11330,7480
STCHE-6,CAMP_DIW_01,Diwali,P07,300,BOGOF,59,201,300.00,17700,60300
STCHE-5,CAMP_SAN_01,Sankranti,P10,50,25% OFF,37,31,37.50,1850,1162.5
STCHE-0,CAMP_DIW_01,Diwali,P11,190,50% OFF,80,102,95.00,15200,9690
STCBE-4,CAMP_DIW_01,Diwali,P02,860,33% OFF,255,377,576.20,219300,217227.4
STMDU-0,CAMP_DIW_01,Diwali,P10,65,50% OFF,78,102,32.50,5070,3315
STHYD-2,CAMP_DIW_01,Diwali,P06,415,25% OFF,96,77,311.25,39840,23966.25
STBLR-9,CAMP_DIW_01,Diwali,P10,65,50% OFF,92,125,32.50,5980,4062.5
STBLR-7,CAMP_DIW_01,Diwali,P12,62,50% OFF,124,184,31.00,7688,5704
STBLR-9,CAMP_DIW_01,Diwali,P01,172,33% OFF,329,467,115.24,56588,53817.08
STHYD-3,CAMP_DIW_01,Diwali,P10,65,50% OFF,131,203,32.50,8515,6597.5
STMLR-0,CAMP_SAN_01,Sankranti,P03,200,BOGOF,206,541,200.00,41200,108200
STCHE-1,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,43,109,1190.00,51170,129710
STCHE-7,CAMP_SAN_01,Sankranti,P06,415,25% OFF,31,28,311.25,12865,8715
STBLR-0,CAMP_SAN_01,Sankranti,P10,50,25% OFF,31,25,37.50,1550,937.5
STMDU-2,CAMP_DIW_01,Diwali,P11,190,50% OFF,66,77,95.00,12540,7315
STHYD-4,CAMP_DIW_01,Diwali,P02,860,33% OFF,362,521,576.20,311320,300200.2
STCHE-5,CAMP_DIW_01,Diwali,P07,300,BOGOF,59,206,300.00,17700,61800
STBLR-0,CAMP_DIW_01,Diwali,P03,156,25% OFF,358,315,117.00,55848,36855
STCHE-7,CAMP_DIW_01,Diwali,P03,156,25% OFF,330,323,117.00,51480,37791
STCBE-0,CAMP_DIW_01,Diwali,P01,172,33% OFF,255,425,115.24,43860,48977
STCBE-2,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,78,334,1020.00,79560,340680
STMLR-2,CAMP_DIW_01,Diwali,P02,860,33% OFF,210,268,576.20,180600,154421.6
STVJD-1,CAMP_DIW_01,Diwali,P05,55,25% OFF,59,48,41.25,3245,1980
STMYS-2,CAMP_DIW_01,Diwali,P05,55,25% OFF,99,88,41.25,5445,3630
STBLR-0,CAMP_SAN_01,Sankranti,P05,55,25% OFF,28,22,41.25,1540,907.5
STBLR-4,CAMP_DIW_01,Diwali,P08,1190,BOGOF,49,163,1190.00,58310,193970
STCBE-0,CAMP_DIW_01,Diwali,P07,300,BOGOF,36,118,300.00,10800,35400
STCHE-2,CAMP_DIW_01,Diwali,P07,300,BOGOF,59,196,300.00,17700,58800
STHYD-3,CAMP_DIW_01,Diwali,P12,62,50% OFF,112,178,31.00,6944,5518
STMLR-2,CAMP_SAN_01,Sankranti,P01,172,33% OFF,183,215,115.24,31476,24776.6
